,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0
133,0.9184069717216843,1.5325188498318394,-0.2136452524451354,-0.37194642784394055,0.9773818825339843,0.22483468752218475,0.2366675646235512,-0.26419761353674154,-0.8870272973510136,0.39520122074703395,0.2908965619564475,-0.16015262659978308,-0.16640915521163244,-0.057586277604086,0.4978904848868447,0.031392412389216744,1.7632784983513798,1.777518708821464,1.590764373944266,1.7739312611680347,1.7670127550632175,1.506088150616544,0.4870615589464374,1.5755894601143667,0.8906109753814299,1.5252426898941331,0.6754720317008831,0
120,0.2640912751302698,-0.7482919625385808,0.8069335074366617,1.296786194374819,0.9773818825339843,1.6237350050499741,0.2954075218316846,0.5139366512082877,0.8836572586019402,-0.14122071047110818,-0.5653312699017753,0.5884265261921339,0.17579470530917632,0.13954592565593482,-0.011632498468906878,-0.33499713101005907,0.8341089266877434,0.8371401095284781,1.354156917597833,0.9538108426314612,1.0433635515933584,0.9567431723922569,1.3612152023437978,0.6565239524383387,1.162946066853788,1.5037476320350256,0.6754720317008831,1
49,1.18013325035825,1.7079658353987948,-0.4687899424155847,0.4624198832654392,-0.09002201549655138,1.1574348992073777,1.922248945378687,1.7179416959826912,0.7462980899455054,0.25693097139577337,-1.3065885801677282,1.6186208689019317,1.0827740429496935,1.3064413868886369,0.06301099590805057,-1.4167472419315272,0.42685588038410704,0.45207128654212575,0.6508169446228187,0.4526261424146661,0.4689203694574903,0.7114046384280126,0.8472128600261497,0.5561481973337895,0.5385680522586255,0.7138042557128287,0.7676141809111006,1
93,0.13322813581198695,0.47983693643010694,0.041499437525313876,-1.2063127389533204,-0.09002201549655138,1.3646793906929762,1.064134787903345,1.3315033955856663,0.7675263251014998,0.16530610736783027,-0.9895119837764145,1.7809806467627505,1.547392292599897,0.9519213761871483,0.3615849734158798,-1.5062423926962683,-1.0123684774268022,-1.0274036649317533,-1.358725835305793,-1.0243499817090709,-1.13131420934957,-1.088633518374869,-1.6318868726487639,-1.460777131798245,-1.2781062774411296,-1.0998412511493585,-1.1040232249214474,0
72,-0.2593612821428617,0.30438995086315157,-0.2136452524451354,-1.2063127389533204,-0.09002201549655138,-1.2258767528770043,-1.109243628797595,-1.037074214330791,-0.5848371263068564,0.46183748549462905,0.6164446704650864,-0.7707978088196772,-0.3416843032832661,0.1093401848338347,0.21878872330343987,0.3130919137896438,-1.4077597845177114,-1.3840989956980583,-1.310107864823649,-1.3660668227659765,-1.3402026392171584,-1.0859667951796055,-1.561954581176975,-1.30080327210037,-1.5437990496092842,-0.8983250837202265,-0.8794267362215418,0
8,0.7875438324034013,1.7079658353987948,-0.4687899424155847,-0.37194642784394055,-0.09002201549655138,1.1574348992073777,0.14472676203690737,2.022886205139527,0.6151825198643628,0.2852513839135017,-0.9017713225612609,2.407430763110688,1.7783103448212556,0.9042281012048852,-0.7450859649555308,-1.5951369048652728,1.506274148742289,1.6113311115326174,1.6069703641049806,1.5385263262177218,1.5357434219955304,1.4340866243444286,1.0570097344415161,1.6195038529726071,1.6644411743211798,1.436575576225315,1.2168071583109124,0
44,0.002364996493704053,-0.046504020270759214,0.29664412749576313,-0.37194642784394055,0.9773818825339843,-0.7595766470344079,-0.8768377111480233,-1.1948041328601888,-1.3253279173365473,-0.4510793415474269,1.2893247757840567,-1.0294240036422204,-1.4434138054478207,-1.4852049754064924,-1.2481182096698085,1.5329889017305107,-0.5576684742722567,-0.5126274489394721,-0.7655865954236383,-0.6978205558102499,-0.7545690054812412,-0.7659600117479821,0.018515206085452297,0.03544896772894073,-0.7898958085821463,-0.3179585215243267,0.6754720317008831,1
0,1.5727226683130986,1.1816248786979284,1.062078197407111,0.4624198832654392,0.9773818825339843,0.7947570391075804,1.917141123012762,0.35620673267888997,0.8037391968381966,0.9199618056343469,-1.26060037153082,0.45911342878086214,0.9074988948780596,1.0727443394755476,1.198890258166096,-1.01612129857527,0.8815558835386526,0.9060471620628775,1.00734872815854,0.9386234274733763,0.9239987345261649,1.0394115914454265,1.4206576500948183,1.2462315136775648,1.1396979492890746,0.9475630099306218,1.2369632534506476,0
116,-0.6519507000977104,-1.0991859336724916,0.29664412749576313,0.045236727710749325,-0.09002201549655138,1.1056237763359782,0.8904688274619067,0.05389105549754404,-0.3650624564565605,-0.36778401061293275,0.0869751631322631,0.3197426460153806,0.2314376094589011,0.4447828855424179,0.7640107691873013,-0.49356572028449935,1.2057767553531982,1.169515304106171,1.1920970159906867,1.1360598245284774,1.1067761106603045,0.8260737358243443,0.4870615589464374,1.327786814700011,0.6249182032132755,1.1168365905710924,0.8338413506559449,1
60,-0.5210875607794275,-0.7482919625385808,-0.2136452524451354,0.4624198832654392,-0.09002201549655138,1.7273572507927735,2.346198201750433,0.6585224098602359,-0.3038751904186937,-0.03960040673102541,-0.544757597616843,-0.517918862770968,-0.7951739721035247,-0.4168756158038005,0.5660432406223277,0.4392260188943122,1.628845453940471,1.6032243994697466,1.3120213431799745,1.5309326186386794,1.5208228198621314,1.3674185444628404,0.4870615589464374,1.4156156004164917,1.282507814329458,1.5064345142674143,1.3435026134749615,0
