ticker,longName,logo_url,close_price,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0,beat1,beat2,beat3
MRK,"Merck & Co., Inc.",https://logo.clearbit.com/merck.com,71.68,22.0,1.0,11.0,10.0,3.0,59,6.65,5.91,30.59,25.54,31.31,7.72,7.65,18.32,17.22,49.09,7.1,9.5,1.2,6.9,6.1,0.1,0.1,18.6,6.2,1.0,24.3,0,0,0,1
MGM,MGM Resorts International,https://logo.clearbit.com/mgmresorts.com,41.54,28.0,3.0,13.0,12.0,2.0,66,13,14,32,26,14,18,17,32,18,16,58.2,58.1,56.3,57.8,57.8,46.0,51.6,57.9,58.2,48.0,23.0,0,0,1,0
MU,"Micron Technology, Inc.",https://logo.clearbit.com/micron.com,74.3,18.0,7.0,4.0,6.0,2.0,15,.61,3.16,16.26,29.9,50.15,6,4.53,16,16.96,56.51,4.4,2.2,24.4,4.0,2.4,12.3,44.3,2.1,28.4,8.7,11.7,0,0,1,1
MSFT,Microsoft Corporation,https://logo.clearbit.com/microsoft.com,299.87,13.0,0.0,8.0,5.0,3.0,43,3,3,12,24,58,7,5,17,17,53,78.1,77.4,86.6,82.9,83.5,88.5,62.8,82.3,80.8,85.0,73.4,1,1,1,0
MHK,"Mohawk Industries, Inc.",https://logo.clearbit.com/mohawkind.com,181.82,14.0,5.0,4.0,4.0,2.0,27,10.98,12.38,34.15,28.62,13.78,11.77,9.94,35.36,17.7,25.23,95.2,94.4,88.2,96.0,95.7,88.0,79.9,92.4,77.0,85.2,80.6,0,0,1,0
MS,Morgan Stanley,https://logo.clearbit.com/morganstanley.com,101.75,23.0,1.0,12.0,10.0,3.0,41,4.76,3.74,11.4,12.11,67.99,10.65,6.59,12.31,11.43,59.03,56.5,56.7,34.8,55.2,53.8,22.3,49.8,55.1,44.9,0.5,20.9,1,0,1,0
NWL,Newell Brands Inc.,https://logo.clearbit.com/newellbrands.com,24.81,16.0,6.0,5.0,4.0,2.0,39,2,2,12,20,65,8,7,21,17,47,59.2,59.1,59.7,59.2,59.2,66.2,62.9,58.9,58.5,61.5,78.6,0,0,1,0
NKE,"NIKE, Inc.",https://logo.clearbit.com/nike.com,156.42,15.0,2.0,6.0,7.0,3.0,33,4.93,4.55,16.97,29.53,44.02,7.1,6.77,20.21,18.91,47.02,78.3,74.9,80.9,77.8,78.6,89.1,77.1,69.1,80.0,82.9,88.9,1,0,0,1
NSC,Norfolk Southern Corporation,https://logo.clearbit.com/norfolksouthern.com,246.04,24.0,9.0,12.0,3.0,2.0,69,3.98,11.69,26.37,32.5,25.45,20.24,13.13,24.23,16.63,25.77,18.7,17.5,5.9,15.9,14.3,1.0,11.3,5.3,0.4,2.2,9.4,0,0,1,1
NOC,Northrop Grumman Corporation,https://logo.clearbit.com/northropgrumman.com,350.24,30.0,9.0,17.0,5.0,3.0,50,6.21,3.97,12.65,16.89,60.29,5.38,2.9,11.12,12.01,68.59,41.7,42.3,16.6,38.0,34.9,1.8,62.8,50.1,38.4,13.1,73.4,0,1,1,1
NRG,"NRG Energy, Inc.",https://logo.clearbit.com/nrg.com,42.08,32.0,17.0,9.0,6.0,2.0,44,2,2,7,12,77,7,5,11,13,65,83.8,85.1,87.1,82.8,82.6,73.7,79.3,70.1,86.5,80.0,88.9,1,0,1,0
ORLY,"O'Reilly Automotive, Inc.",https://logo.clearbit.com/oreillyauto.com,599.34,13.0,0.0,9.0,4.0,1.0,14,2.06,6.44,27.24,33.31,30.95,23.82,13.98,28.26,14.84,19.09,76.3,77.3,76.2,76.6,76.4,77.3,81.7,92.7,81.4,85.6,90.2,1,1,1,0
OKE,"ONEOK, Inc.",https://logo.clearbit.com/oneok.com,55.17,25.0,14.0,8.0,3.0,1.0,49,5.1,8.72,23.87,28.76,33.57,21.37,13.45,24.07,15.82,25.29,54.5,54.9,49.0,53.7,53.6,19.0,41.4,17.5,53.7,13.8,14.9,0,1,1,0
ORCL,Oracle Corporation,https://logo.clearbit.com/oracle.com,86.39,18.0,0.0,11.0,7.0,2.0,65,8.92,6.51,17.15,21.08,46.34,14.47,9.44,22.11,17.65,36.34,81.2,79.6,83.4,79.7,79.1,73.7,62.8,89.6,67.1,83.7,78.9,1,1,1,0
PAYX,"Paychex, Inc.",https://logo.clearbit.com/paychex.com,108.78,17.0,1.0,10.0,6.0,0.0,9,2,4,19,26,50,7,9,22,19,43,52.6,51.4,44.5,52.5,52.8,19.2,41.0,50.6,50.7,49.2,73.4,0,1,0,1
PEP,"PepsiCo, Inc.",https://logo.clearbit.com/pepsico.com,154.13,17.0,5.0,8.0,5.0,3.0,36,8.84,5.34,19.8,17.41,48.63,5,5.53,11.35,13,65.12,40.2,38.2,24.5,37.2,36.7,15.9,28.9,41.1,36.0,27.1,32.9,0,1,0,1
PKI,"PerkinElmer, Inc.",https://logo.clearbit.com/perkinelmer.com,187.56,18.0,1.0,11.0,6.0,2.0,28,2.3,1.89,15.49,16.88,63.45,7.47,4.32,11.34,13.1,63.77,42.5,39.4,30.5,37.5,38.5,4.1,18.5,41.0,24.0,7.4,25.1,1,1,0,0
PFE,Pfizer Inc.,https://logo.clearbit.com/pfizer.com,43.89,25.0,2.0,13.0,10.0,3.0,75,6.59,8.26,27.15,22.44,35.56,16.34,9.24,20.19,15.26,38.98,71.8,71.4,88.4,74.9,77.4,78.6,87.8,68.2,83.3,98.1,73.4,1,1,0,1
PSX,Phillips 66,https://logo.clearbit.com/phillips66.com,66.02,33.0,19.0,8.0,6.0,3.0,70,12.37,6.72,18.84,23.8,38.26,14.16,13.29,27.37,14.75,30.43,80.2,76.7,86.4,81.3,79.6,82.6,62.8,77.2,94.9,77.5,92.7,0,1,1,1
PXD,Pioneer Natural Resources Company,https://logo.clearbit.com/pxd.com,157.05,33.0,15.0,9.0,9.0,1.0,67,8.74,6.92,16.65,21.45,46.25,6.4,7.59,22.01,20.53,43.47,47.6,48.4,33.9,45.6,45.1,12.6,62.8,24.3,38.0,34.0,6.5,0,0,1,0
PPG,"PPG Industries, Inc.",https://logo.clearbit.com/ppg.com,146.74,24.0,9.0,8.0,7.0,1.0,35,2.65,6.62,29.71,25.78,35.25,21.29,13.19,22.86,15.68,26.98,17.3,22.1,3.4,14.3,17.8,0.3,4.3,23.7,22.0,4.8,5.0,0,1,0,1
PPL,PPL Corporation,https://logo.clearbit.com/pplweb.com,28.68,34.0,20.0,8.0,6.0,2.0,20,4.27,6.14,32.21,22.74,34.64,7.8,8.32,17.1,19.45,47.33,6.5,8.3,7.2,7.2,8.7,19.9,8.6,0.4,0.0,3.5,3.7,0,0,1,1
PGR,The Progressive Corporation,https://logo.clearbit.com/progressive.com,92.61,23.0,2.0,10.0,12.0,2.0,24,2,3.41,25.43,25.77,43.39,8.49,10.92,22.02,17.65,40.92,37.8,38.5,35.3,43.1,43.2,21.8,22.6,44.6,41.0,15.7,10.9,0,0,0,1
PRU,"Prudential Financial, Inc.",https://logo.clearbit.com/prudential.com,103.14,17.0,1.0,7.0,9.0,2.0,84,15,15,35,21,13,22,12,27,17,22,75.3,74.1,84.2,76.1,76.7,91.4,91.3,92.2,98.2,95.1,93.3,0,1,1,0
QRVO,"Qorvo, Inc.",https://logo.clearbit.com/qorvo.com,175.3,32.0,16.0,9.0,7.0,0.0,43,2.95,2.3,18.07,31.91,44.81,8.06,10.05,24.71,19.65,37.54,5.3,4.6,7.5,3.5,2.4,27.6,22.3,8.7,32.4,1.7,73.4,0,0,1,1
QCOM,QUALCOMM Incorporated,https://logo.clearbit.com/qualcomm.com,133.6,18.0,6.0,3.0,9.0,4.0,57,2,3,11,23,61,11,5,14,13,57,29.3,32.5,31.6,29.1,28.9,24.3,62.8,42.6,43.7,1.0,22.3,0,0,0,1
REGN,"Regeneron Pharmaceuticals, Inc.",https://logo.clearbit.com/regeneron.com,651.88,21.0,0.0,13.0,7.0,2.0,48,7.64,5.84,19.61,20.96,45.93,5.77,6.62,14.04,12.73,60.84,89.9,92.4,92.9,90.5,89.6,88.9,93.5,81.3,83.1,95.7,81.6,0,1,0,0
RMD,ResMed Inc.,https://logo.clearbit.com/resmed.com,285.95,27.0,4.0,12.0,11.0,1.0,46,3.26,3.03,16.44,33.39,43.88,8.42,4.62,16.64,17.26,53.06,57.7,57.8,57.0,57.4,57.4,30.0,51.3,55.8,57.9,36.7,19.8,1,1,0,0
ROK,"Rockwell Automation, Inc.",https://logo.clearbit.com/rockwellautomation.com,311.55,19.0,6.0,7.0,6.0,1.0,62,10.51,12.92,26.62,23.34,26.62,22.16,13.6,25.1,16.67,22.48,64.6,65.5,69.8,64.2,64.2,91.5,81.5,86.6,66.8,81.9,90.4,1,0,0,0
ROL,"Rollins, Inc.",https://logo.clearbit.com/rollins.com,37.14,20.0,2.0,12.0,7.0,0.0,33,2.22,2.25,7.99,13.23,74.3,8.41,5.19,15.42,17.11,53.87,66.9,66.1,74.3,69.7,69.5,91.5,70.5,74.5,61.0,79.5,80.0,1,0,0,1
