ticker,longName,logo_url,close_price,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0,beat1,beat2,beat3
MMM,3M Company,https://logo.clearbit.com/3m.com,181.49,35.0,13.0,14.0,8.0,3.0,59,12.94,7.66,26.51,28.81,24.07,15.44,11.87,26.06,18.99,27.64,73.0,73.1,77.7,74.5,74.2,81.7,89.5,87.0,82.6,77.4,92.9,0,0,1,1
ADBE,Adobe Inc.,https://logo.clearbit.com/adobe.com,654.48,11.0,0.0,6.0,5.0,1.0,70,12.43,8.44,18.02,22.5,38.62,9.77,7.32,16.17,14.54,52.21,63.1,62.7,65.0,63.4,64.4,89.0,67.4,73.8,77.1,82.4,79.1,1,1,0,0
AFL,Aflac Incorporated,https://logo.clearbit.com/aflac.com,53.99,23.0,2.0,8.0,13.0,2.0,68,8,16,32,28,15,27,18,29,13,13,88.0,84.0,84.2,91.4,92.9,85.3,93.1,93.7,67.2,82.8,91.4,0,0,1,0
A,"Agilent Technologies, Inc.",https://logo.clearbit.com/agilent.com,173.94,17.0,1.0,9.0,6.0,2.0,64,2.83,2.92,11,19.36,63.9,5.32,3.75,10.45,10.57,69.91,79.7,77.9,73.8,77.7,80.2,97.2,84.3,68.7,95.6,92.2,73.4,0,1,0,0
APD,"Air Products and Chemicals, Inc.",https://logo.clearbit.com/airproducts.com,261.83,11.0,6.0,1.0,4.0,1.0,16,2.14,4.34,23.37,23.58,46.57,3.11,5.4,18.74,15.54,57.22,46.5,48.6,37.8,44.7,46.4,20.4,34.3,6.8,32.0,15.3,8.2,0,1,0,1
ALB,Albemarle Corporation,https://logo.clearbit.com/albemarle.com,226.85,37.0,19.0,9.0,9.0,1.0,46,4,10,17,22,46,16,12,23,16,34,43.5,44.3,28.3,37.0,35.8,36.6,15.4,35.4,39.5,10.0,24.1,1,1,1,0
ALL,The Allstate Corporation,https://logo.clearbit.com/allstate.com,131.03,21.0,2.0,8.0,11.0,2.0,34,4.19,3.78,17.32,21.55,53.17,6.59,7.19,17.18,14.53,54.51,81.0,81.8,86.3,81.3,80.7,96.3,76.6,71.7,73.6,85.2,95.9,0,1,1,0
AMZN,"Amazon.com, Inc.",https://logo.clearbit.com/amazon.com,3462.52,31.0,7.0,15.0,10.0,3.0,nan,2.18,1.96,7.13,19.17,69.56,10.57,5.29,14.89,14.14,55.11,42.3,45.5,4.6,31.1,24.8,1.4,42.2,13.0,3.4,1.3,24.9,0,1,0,1
AEE,Ameren Corporation,https://logo.clearbit.com/ameren.com,83.6,29.0,16.0,8.0,6.0,2.0,66,6,14,25,25,30,29,15,25,13,18,88.8,90.5,96.2,90.3,90.6,96.5,79.1,98.9,98.4,95.6,92.2,0,1,0,1
AEP,"American Electric Power Company, Inc.",https://logo.clearbit.com/aep.com,84.1,35.0,20.0,10.0,5.0,2.0,39,2.99,9.52,20.74,21.72,45.04,21.17,11.71,21.82,16.1,29.21,37.9,39.6,11.2,37.1,32.1,2.1,15.1,6.5,26.5,3.7,10.9,0,0,0,1
AMGN,Amgen Inc.,https://logo.clearbit.com/amgen.com,219.38,19.0,0.0,13.0,6.0,2.0,30,3.05,2.83,14.66,31.04,48.42,5,3.73,13.41,11.9,65.96,63.0,63.1,61.9,62.5,63.3,71.6,65.9,68.0,63.2,80.7,81.6,0,0,1,1
ADI,"Analog Devices, Inc.",https://logo.clearbit.com/analog.com,171.52,24.0,9.0,8.0,7.0,0.0,13,1.94,1.85,21.96,22.14,52.12,3.84,5.25,11.07,11.63,68.2,24.3,18.7,13.6,17.2,19.0,1.9,4.9,5.4,0.2,0.8,28.1,0,1,0,1
ATO,Atmos Energy Corporation,https://logo.clearbit.com/atmosenergy.com,89.09,32.0,13.0,12.0,7.0,2.0,44,5.17,4.69,12.97,22.55,54.61,5.97,6.9,21.22,18.42,47.49,70.9,70.9,74.9,71.1,71.2,93.9,62.8,73.4,71.9,70.1,73.4,0,1,0,1
ADSK,"Autodesk, Inc.",https://logo.clearbit.com/autodesk.com,288.15,15.0,1.0,9.0,5.0,0.0,26,4.56,2.11,10.77,23.25,59.31,7.44,5.04,12.73,13.08,61.7,13.4,30.2,36.0,27.8,26.8,8.6,39.8,33.6,22.7,4.7,27.6,0,0,0,1
ADP,"Automatic Data Processing, Inc.",https://logo.clearbit.com/adp.com,198.67,14.0,1.0,7.0,5.0,1.0,24,2.36,2.18,17.6,16.21,61.64,4.05,4.18,9.49,9.07,73.2,18.4,21.1,12.3,18.3,19.2,9.4,2.9,13.1,6.8,6.6,7.0,0,0,1,1
AZO,"AutoZone, Inc.",https://logo.clearbit.com/autozone.com,1592.88,11.0,0.0,7.0,4.0,2.0,76,5.17,11.93,28.83,22.26,31.84,29.35,13.23,22.7,13.19,21.53,36.1,37.6,14.9,31.0,27.7,16.5,10.8,22.7,19.4,19.3,19.2,1,0,1,0
AVY,Avery Dennison Corporation,https://logo.clearbit.com/averydennison.com,214.68,18.0,12.0,2.0,4.0,1.0,45,9.37,5.44,20.36,26.52,38.31,12.49,11.89,18.59,15.87,41.17,64.3,64.4,65.7,64.3,64.6,93.4,72.5,72.6,79.7,80.2,95.2,0,1,1,0
BLL,Ball Corporation,https://logo.clearbit.com/ball.com,92.36,14.0,9.0,1.0,4.0,1.0,22,1.61,2.45,16.27,28.62,51.06,4.92,4.63,15.88,18.63,55.94,34.9,26.4,27.9,35.3,37.2,3.5,48.5,35.6,21.3,18.6,29.4,1,0,0,1
BDX,"Becton, Dickinson and Company",https://logo.clearbit.com/bd.com,261.95,29.0,4.0,16.0,9.0,3.0,12,1.33,1.95,17.85,19.18,59.7,2.17,4.15,8.57,9.37,75.74,32.3,32.4,24.3,31.5,32.5,4.1,19.9,40.6,20.8,15.4,20.6,1,0,0,1
BBY,"Best Buy Co., Inc.",https://logo.clearbit.com/investors.bestbuy.com,109.62,14.0,2.0,7.0,5.0,2.0,34,4.94,5.46,20.57,30.82,38.23,7.8,6.96,23.25,18.67,43.33,84.7,85.5,87.7,84.5,84.8,98.2,87.1,82.2,89.2,87.5,73.4,0,0,1,1
BIO,"Bio-Rad Laboratories, Inc.",https://logo.clearbit.com/bio-rad.com,788.35,21.0,1.0,12.0,7.0,2.0,72,5.37,5.13,19.44,35.96,34.1,5.2,4.86,14.86,15.09,59.99,91.4,83.0,86.3,87.0,88.2,91.1,65.3,90.3,84.3,91.3,73.4,0,1,0,0
BIIB,Biogen Inc.,https://logo.clearbit.com/biogen.com,300.19,21.0,0.0,13.0,8.0,2.0,39,5.95,4.33,12.64,11.65,65.43,15.12,6.76,13.59,12.8,51.73,63.8,64.5,73.8,65.3,68.0,73.8,81.0,87.5,68.3,95.2,85.4,0,1,0,1
BA,The Boeing Company,https://logo.clearbit.com/boeing.com,213.24,36.0,8.0,20.0,8.0,4.0,44,3.84,3.15,8.59,13.57,70.86,11.53,5.64,11.27,12.9,58.66,29.5,30.8,0.6,18.2,10.7,0.0,18.5,2.2,34.9,0.5,0.3,0,0,1,1
BWA,BorgWarner Inc.,https://logo.clearbit.com/borgwarner.com,42.92,13.0,3.0,4.0,7.0,2.0,36,2,6,21,28,43,13,9,21,17,40,54.7,54.9,48.9,55.3,55.4,21.2,35.6,53.1,47.8,36.8,31.3,0,0,1,1
BXP,"Boston Properties, Inc.",https://logo.clearbit.com/bostonproperties.com,109.99,14.0,4.0,5.0,5.0,1.0,45,6.19,4.78,14.08,12.97,61.99,17.64,7.41,13.78,12.09,49.09,40.3,38.6,9.7,30.3,27.1,0.0,41.5,5.9,31.8,0.4,16.4,0,1,0,1
BSX,Boston Scientific Corporation,https://logo.clearbit.com/bostonscientific.com,44.37,29.0,3.0,15.0,10.0,2.0,21,4.65,3.43,27.74,23.82,40.36,5,6.8,17.8,16.54,53.86,21.5,15.2,10.5,14.1,16.7,8.6,0.4,7.8,12.8,3.1,23.8,0,1,1,0
CPB,Campbell Soup Company,https://logo.clearbit.com/campbellsoupcompany.com,43.19,22.0,10.0,8.0,5.0,2.0,57,7.96,9.64,26.24,18.99,37.18,16.01,10.11,20.74,15.5,37.63,87.6,87.5,92.2,86.6,87.4,96.3,97.4,94.6,99.4,94.4,89.8,0,0,1,1
CAH,"Cardinal Health, Inc.",https://logo.clearbit.com/cardinalhealth.com,52.57,12.0,2.0,5.0,4.0,3.0,24,1,2,13,24,60,6,6,18,20,51,18.1,20.2,13.2,23.1,22.7,3.9,62.8,34.1,28.8,10.8,9.4,0,0,1,1
CAT,Caterpillar Inc.,https://logo.clearbit.com/caterpillar.com,199.75,34.0,7.0,18.0,9.0,4.0,12,1.02,1.27,9.4,16.19,72.12,4.15,3.58,11.3,10.11,70.85,5.1,4.6,1.8,4.2,5.7,2.6,9.4,13.3,17.0,3.8,1.9,0,0,1,1
CNC,Centene Corporation,https://logo.clearbit.com/centene.com,64.64,22.0,0.0,16.0,7.0,2.0,40,1.29,4.19,13.47,21.9,59.14,11.54,8.69,20.74,15.68,43.34,28.1,28.3,7.2,23.9,22.4,7.0,11.4,8.4,24.6,5.7,14.5,0,1,0,1
CNP,"CenterPoint Energy, Inc.",https://logo.clearbit.com/centerpointenergy.com,24.43,35.0,18.0,12.0,6.0,2.0,66,14,12,19,19,37,20,12,22,14,32,77.3,73.8,88.1,78.7,78.8,90.5,79.9,90.2,94.9,85.2,96.7,0,1,0,1
CERN,Cerner Corporation,https://logo.clearbit.com/cerner.com,75.04,20.0,0.0,13.0,7.0,2.0,28,6.16,8.33,37.95,30.14,17.45,11.72,11.66,29.16,21.09,26.36,60.1,60.2,62.0,59.9,59.9,60.7,66.2,62.5,69.8,67.2,84.2,0,1,0,1
SCHW,The Charles Schwab Corporation,https://logo.clearbit.com/schwab.com,70.43,24.0,2.0,10.0,12.0,2.0,17,1.48,2.47,14.71,25.87,55.49,3.54,2.69,8.75,11.67,73.35,36.4,36.6,26.5,34.6,33.4,9.2,37.8,7.6,41.3,23.4,20.6,0,1,1,0
CMG,"Chipotle Mexican Grill, Inc.",https://logo.clearbit.com/chipotle.com,1909.02,24.0,5.0,14.0,5.0,3.0,32,1,2,9,24,64,10,6,14,15,55,6.1,9.7,10.1,10.0,8.8,1.1,62.8,7.6,13.7,3.5,1.1,0,0,1,0
CINF,Cincinnati Financial Corporation,https://logo.clearbit.com/cinfin.com,116.45,24.0,2.0,9.0,14.0,1.0,44,3.23,6.02,32.01,30.58,28.15,7.77,9.32,24.23,23.17,35.52,30.1,32.2,21.8,32.7,32.3,38.5,62.8,1.8,22.2,6.4,5.8,0,1,1,0
CSCO,"Cisco Systems, Inc.",https://logo.clearbit.com/cisco.com,56.85,11.0,0.0,6.0,6.0,2.0,nan,3.97,5.11,13.42,18.59,58.91,5.13,3.2,9.04,8.11,74.51,66.9,65.8,67.8,66.2,67.5,59.1,62.8,58.2,58.2,58.2,73.4,0,1,1,0
C,Citigroup Inc.,https://logo.clearbit.com/citigroup.com,69.96,25.0,2.0,11.0,13.0,4.0,45,5.84,4.94,11.19,11.62,66.4,12.36,6.65,12.33,10.29,58.36,30.6,34.4,0.8,22.3,14.6,0.7,2.7,29.5,10.1,0.1,11.0,0,0,1,1
CLX,The Clorox Company,https://logo.clearbit.com/thecloroxcompany.com,166.09,22.0,8.0,8.0,6.0,2.0,67,7.45,5.99,12.77,23.28,50.5,12.79,8.07,16.18,14.41,48.55,90.9,80.7,93.1,84.6,87.3,99.8,81.0,90.9,97.9,95.8,73.4,0,0,0,1
CMS,CMS Energy Corporation,https://logo.clearbit.com/cmsenergy.com,61.66,24.0,12.0,7.0,5.0,2.0,26,2.84,10.49,33.83,35.32,17.52,18.64,15.85,29.56,18,17.95,70.2,71.9,68.8,68.6,67.4,85.7,88.5,71.4,69.9,72.2,89.0,0,0,0,1
KO,The Coca-Cola Company,https://logo.clearbit.com/coca-colacompany.com,54.44,25.0,9.0,11.0,5.0,3.0,56,1.78,5.58,13.94,19.21,59.48,15.73,8.65,17.96,15.81,41.85,94.1,93.4,97.2,97.3,96.4,97.8,80.7,91.3,71.7,95.3,73.4,0,1,0,1
CL,Colgate-Palmolive Company,https://logo.clearbit.com/colgatepalmolive.com,76.23,21.0,7.0,9.0,5.0,3.0,53,6.52,8.02,30.37,23.09,31.99,15.7,8.05,17.09,14.45,44.72,72.1,71.3,83.7,72.2,73.6,78.5,87.4,90.3,83.6,92.2,73.4,0,1,0,1
CMCSA,Comcast Corporation,https://logo.clearbit.com/corporate.comcast.com,57.11,25.0,5.0,12.0,8.0,2.0,59,5.01,9.25,25.88,17.26,42.6,20.53,10.57,19.54,15.1,34.26,10.8,13.5,1.9,8.1,7.2,0.2,13.0,5.0,5.2,0.9,0.0,0,0,1,1
ED,"Consolidated Edison, Inc.",https://logo.clearbit.com/conedison.com,73.07,25.0,5.0,14.0,7.0,3.0,40,5.12,4.31,10.76,11.61,68.19,11.75,6.74,11.58,10.26,59.67,30.2,33.6,0.9,19.2,11.8,1.4,12.7,17.8,11.5,0.0,1.0,0,0,0,1
GLW,Corning Incorporated,https://logo.clearbit.com/corning.com,38.39,20.0,8.0,5.0,7.0,2.0,9,1.93,5.55,28.79,29.73,34.03,13.23,10.33,24.11,19.2,33.14,39.6,36.0,31.3,40.8,41.3,5.1,6.7,48.1,31.0,6.0,18.2,0,0,1,1
COST,Costco Wholesale Corporation,https://logo.clearbit.com/costco.com,459.51,23.0,6.0,11.0,6.0,3.0,29,2,1.76,9.46,20.58,66.21,5.08,3.42,9.97,11.45,70.08,36.6,38.1,23.0,31.4,29.2,14.0,49.4,48.4,24.5,30.3,73.4,1,1,0,0
CSX,CSX Corporation,https://logo.clearbit.com/csx.com,30.31,18.0,6.0,9.0,4.0,3.0,68,5.25,12.88,31.71,26.33,23.84,24.65,14.34,26.46,14.27,20.28,84.1,81.9,92.6,86.6,90.2,94.9,93.4,97.7,97.8,77.9,94.8,0,0,0,1
CMI,Cummins Inc.,https://logo.clearbit.com/cummins.com,227.69,19.0,6.0,8.0,6.0,2.0,16,4,8,34,26,28,15,13,28,18,27,59.4,59.5,60.1,59.2,59.1,66.8,69.0,66.0,65.3,62.0,74.7,0,0,1,1
CVS,CVS Health Corporation,https://logo.clearbit.com/cvshealth.com,85.51,23.0,0.0,16.0,6.0,3.0,21,9,13,33,26,19,18,11,23,18,30,37.0,31.9,25.6,32.6,34.6,15.1,6.6,1.9,14.0,5.0,11.7,0,1,1,0
DE,Deere & Company,https://logo.clearbit.com/deere.com,349.09,17.0,4.0,9.0,4.0,2.0,22,3.8,6.37,29.5,35.5,24.83,12.18,10.2,26.73,19.81,31.07,41.8,42.0,40.4,45.1,43.4,24.3,28.6,34.4,45.7,34.9,10.2,0,0,1,0
DVN,Devon Energy Corporation,https://logo.clearbit.com/devonenergy.com,29.79,32.0,16.0,8.0,8.0,2.0,66,12.96,12.84,26.05,24.83,23.31,23.51,12.5,27.53,15.49,20.97,61.5,61.9,66.7,61.7,62.0,69.4,73.1,65.0,64.5,68.7,76.6,1,1,1,0
DXCM,"DexCom, Inc.",https://logo.clearbit.com/dexcom.com,563.14,27.0,6.0,13.0,8.0,2.0,59,2.82,2.54,9.89,21.54,63.19,7.59,3.53,11.27,11.03,66.57,29.3,32.5,31.6,29.1,28.9,24.3,62.8,42.6,43.7,1.0,22.3,1,1,0,0
DISH,DISH Network Corporation,https://logo.clearbit.com/dish.com,42.48,23.0,2.0,11.0,10.0,3.0,19,.84,1.46,10.53,25.08,62.1,3.24,3,11.12,14.76,67.87,51.3,47.4,38.3,51.7,50.5,11.0,51.2,49.8,43.5,38.7,19.7,0,1,0,1
DLTR,"Dollar Tree, Inc.",https://logo.clearbit.com/dollartree.com,89.31,18.0,3.0,9.0,6.0,2.0,50,2.36,5.41,23.25,34.62,34.36,7.91,7.19,19.9,20.41,44.59,40.8,39.5,33.1,38.8,39.0,18.5,44.6,25.0,20.2,14.6,73.4,0,0,0,1
D,"Dominion Energy, Inc.",https://logo.clearbit.com/dominionenergy.com,74.12,28.0,13.0,9.0,6.0,2.0,64,3.82,10.47,21.94,24.45,39.33,22.4,10.84,24.18,15.94,26.64,65.8,66.0,69.4,67.0,67.0,87.1,81.2,80.5,70.6,79.4,87.7,0,0,0,1
DPZ,"Domino's Pizza, Inc.",https://logo.clearbit.com/dominos.com,503.54,27.0,5.0,15.0,7.0,2.0,41,.59,1.86,5.38,11.05,81.15,14.48,7.11,17.38,12.77,48.26,44.4,44.4,35.9,46.5,46.5,6.9,45.5,48.2,40.1,26.2,13.0,0,1,0,0
DUK,Duke Energy Corporation,https://logo.clearbit.com/duke-energy.com,99.67,29.0,15.0,8.0,5.0,3.0,55,2.94,7.58,14.63,22.5,52.35,14.18,8.8,19,15.22,42.8,21.9,23.0,4.3,12.8,11.4,1.5,40.6,19.5,26.6,1.3,12.7,0,1,0,1
DRE,Duke Realty Corporation,https://logo.clearbit.com/dukerealty.com,49.43,13.0,5.0,4.0,5.0,0.0,20,1,3,16,24,56,8,8,26,19,39,19.0,21.0,5.8,21.4,19.7,2.1,17.6,16.8,14.0,9.6,5.6,0,1,0,0
DD,"DuPont de Nemours, Inc.",https://logo.clearbit.com/dupont.com,68.91,30.0,14.0,9.0,7.0,3.0,62,4.92,9.3,37.54,22.41,25.83,17.32,11.3,24.29,16.55,30.53,72.8,73.1,75.9,76.2,71.6,93.9,83.5,77.8,93.0,87.7,82.4,0,0,1,1
EBAY,eBay Inc.,https://logo.clearbit.com/ebayinc.com,74.11,17.0,1.0,9.0,6.0,2.0,51,7,7,18,28,40,8,8,18,16,50,43.5,45.7,39.1,40.7,36.2,3.3,14.1,43.6,21.0,7.5,73.4,0,1,1,0
ECL,Ecolab Inc.,https://logo.clearbit.com/ecolab.com,218.34,24.0,9.0,8.0,6.0,2.0,53,9.82,6.72,23.27,27.5,32.68,15.21,10.82,23.93,17.95,32.1,53.2,53.4,39.5,51.3,50.7,7.2,27.3,18.7,33.3,22.4,6.4,1,0,0,1
EW,Edwards Lifesciences Corporation,https://logo.clearbit.com/edwards.com,119.42,19.0,2.0,9.0,8.0,2.0,77,14.62,8.81,17.64,23.05,35.9,8.64,5.75,16.69,17.04,51.87,91.9,90.3,87.1,90.1,90.2,94.0,62.8,92.4,86.9,98.2,96.6,0,1,0,0
EA,Electronic Arts Inc.,https://logo.clearbit.com/ea.com,133.88,12.0,0.0,7.0,5.0,2.0,45,2,3,13,27,55,5,4,13,14,63,74.1,69.4,69.4,70.1,70.8,72.5,70.1,74.1,75.2,87.2,99.8,0,1,0,1
LLY,Eli Lilly and Company,https://logo.clearbit.com/lilly.com,230.1,29.0,2.0,17.0,10.0,2.0,35,7.1,16.32,28,19.91,28.67,23.38,13.59,26.72,15.95,20.36,58.7,58.7,59.4,58.5,58.6,67.3,65.2,68.6,61.5,64.0,87.4,0,1,1,0
ETR,Entergy Corporation,https://logo.clearbit.com/entergy.com,111.04,34.0,19.0,8.0,7.0,2.0,61,4.41,10.54,20.9,23,41.14,22.74,12.08,22.73,14.1,28.35,69.0,67.7,85.1,71.7,72.4,94.2,84.1,87.5,80.3,86.8,89.2,0,1,0,1
EOG,"EOG Resources, Inc.",https://logo.clearbit.com/eogresources.com,74.25,39.0,20.0,11.0,8.0,1.0,60,6.67,6.09,13.52,18.85,54.87,12.39,7.7,15.71,14.2,49.99,29.0,37.5,6.3,24.0,22.4,4.7,4.9,3.1,3.1,3.3,2.4,0,1,1,0
ES,Eversource Energy,https://logo.clearbit.com/eversource.com,83.3,22.0,6.0,10.0,6.0,2.0,nan,7.95,11.9,33.34,28.87,17.94,19.99,14.59,25.49,15.01,24.93,89.8,94.2,90.6,92.4,90.9,87.6,97.0,98.1,85.8,94.3,73.4,0,0,0,1
FAST,Fastenal Company,https://logo.clearbit.com/fastenal.com,52.96,25.0,9.0,9.0,7.0,2.0,8,2.52,4.89,27.2,35.04,30.36,14.64,12.05,29.55,19.74,24.02,41.9,41.5,39.1,45.2,46.2,31.4,7.7,16.4,41.3,24.1,11.5,0,0,0,1
FMC,FMC Corporation,https://logo.clearbit.com/fmc.com,95.19,39.0,18.0,14.0,7.0,2.0,62,4.62,9.06,26.69,18.26,41.37,20.64,11.09,19.8,15.24,33.23,56.0,56.3,50.2,55.5,55.6,19.9,62.8,48.7,48.0,16.3,0.4,0,1,0,1
F,Ford Motor Company,https://logo.clearbit.com/ford.com,13.55,31.0,9.0,12.0,10.0,3.0,40,11.52,10.86,27.99,29.52,20.12,22.16,15.33,25.75,14.5,22.27,58.9,58.8,59.4,58.6,58.6,66.6,62.8,59.7,59.0,63.0,80.2,0,1,1,0
FCX,Freeport-McMoRan Inc.,https://logo.clearbit.com/fcx.com,33.05,34.0,18.0,11.0,5.0,4.0,70,15.07,11.98,20.97,25.53,26.44,22.03,12.64,26.45,15.53,23.35,85.1,90.0,94.8,90.4,91.8,89.4,89.8,95.0,86.8,93.7,73.4,0,0,1,0
GPS,"The Gap, Inc.",https://logo.clearbit.com/gapinc.com,24.35,15.0,1.0,8.0,6.0,3.0,51,6.79,4.26,10.9,16.23,61.8,14.19,7.67,11.9,8.8,57.44,67.4,63.3,83.7,67.5,69.8,94.4,63.7,66.0,77.2,89.6,73.4,0,0,1,1
GE,General Electric Company,https://logo.clearbit.com/ge.com,100.47,43.0,16.0,16.0,12.0,3.0,47,8.4,5.7,16.48,13.62,55.79,17.46,7.71,13.89,11.84,49.11,5.9,4.6,0.1,2.7,2.0,0.1,2.0,1.1,11.4,0.2,17.1,0,0,1,0
GIS,"General Mills, Inc.",https://logo.clearbit.com/generalmills.com,58.92,21.0,8.0,9.0,4.0,2.0,20,1.09,2.36,15.39,26.06,55.09,6.88,7.38,20,15.97,49.77,15.1,16.6,6.2,13.8,13.5,2.0,4.2,5.8,1.8,8.7,19.4,0,0,0,1
GM,General Motors Company,https://logo.clearbit.com/gm.com,51.33,31.0,10.0,13.0,8.0,4.0,85,4.59,11.9,23.59,28,31.92,34.63,13.48,22.14,11.84,17.91,64.4,64.0,70.1,64.2,63.5,90.2,78.1,67.8,64.9,71.2,79.8,0,0,1,0
GILD,"Gilead Sciences, Inc.",https://logo.clearbit.com/gilead.com,71.61,22.0,0.0,14.0,8.0,2.0,56,5,5,15,27,48,6,5,14,16,59,66.8,63.9,67.7,65.0,65.5,84.4,63.8,67.7,67.6,85.4,98.1,0,0,1,0
HAL,Halliburton Company,https://logo.clearbit.com/halliburton.com,20.27,24.0,8.0,10.0,7.0,2.0,89,24.63,18.8,28.36,20.51,7.71,18.62,14.06,29.22,17.77,20.34,91.5,89.0,90.5,92.5,89.9,94.6,75.7,74.7,85.8,80.5,93.6,0,0,1,1
HBI,Hanesbrands Inc.,https://logo.clearbit.com/hanes.com,19.0,14.0,1.0,7.0,5.0,2.0,61,7.31,8.33,30.49,28.3,25.58,17.19,14.52,32.5,16.78,19.02,73.1,74.7,70.9,74.3,73.3,76.4,75.4,70.1,69.0,83.9,73.4,0,0,1,0
HAS,"Hasbro, Inc.",https://logo.clearbit.com/hasbro.com,97.53,10.0,0.0,5.0,5.0,2.0,39,12,12,29,23,24,16,12,26,17,28,62.7,63.7,66.5,63.2,62.9,69.0,77.7,77.5,71.5,72.7,86.1,0,0,0,1
HSIC,"Henry Schein, Inc.",https://logo.clearbit.com/henryschein.com,77.47,13.0,2.0,6.0,6.0,2.0,30,2.78,2.96,20.88,23.14,50.25,4.85,5.41,12.19,12.49,65.07,19.1,14.5,4.7,15.3,13.9,2.1,35.6,35.1,0.1,0.8,73.4,0,1,0,1
HES,Hess Corporation,https://logo.clearbit.com/hess.com,71.34,30.0,16.0,6.0,7.0,2.0,40,4.68,3.75,11.11,11.95,68.51,10.63,6.53,12.27,11.33,59.23,55.8,56.0,31.9,54.3,52.6,24.4,42.7,53.3,42.4,0.4,2.4,0,1,1,0
HOLX,"Hologic, Inc.",https://logo.clearbit.com/hologic.com,77.63,30.0,4.0,14.0,12.0,2.0,25,4.31,3.02,24.72,21.93,46.02,4.62,5.35,17.28,17.19,55.55,44.2,39.6,33.7,35.8,40.0,4.6,48.1,3.4,22.3,3.7,16.9,0,0,0,1
HD,"The Home Depot, Inc.",https://logo.clearbit.com/homedepot.com,335.67,11.0,3.0,5.0,4.0,2.0,48,1.48,2.14,11.65,21.11,63.62,5.93,5.47,17.29,19.53,51.77,19.1,24.4,5.8,7.9,9.3,3.4,62.8,2.9,46.1,7.4,18.0,0,1,1,0
HPQ,HP Inc.,https://logo.clearbit.com/www8.hp.com,27.68,10.0,0.0,5.0,5.0,2.0,42,2.07,1.57,5.42,10.77,80.16,7.4,4.52,9.24,8.68,70.17,39.0,45.4,46.8,42.4,38.2,14.7,18.6,42.9,1.4,2.9,13.0,0,0,1,1
