ticker,lag0,lag1,lag2,lag3,beat0,beat1,beat2,beat3
MMM,0.9431913223416264,1.0291937105694222,1.1024384112507042,0.9404581873964878,0,0,1,1
AOS,,0.9942496327455362,1.2015486015993362,0.8534821384744483,0,0,1,1
ABT,1.145974893789995,0.9486061301663657,1.1036372135142387,0.8377865814241243,1,0,1,1
ABBV,,1.1207191592707668,1.0210433425338767,0.9217805432669799,0,1,0,1
ABMD,,1.046008166612955,1.085342828479587,0.7756619305677817,0,0,1,0
ACN,,1.0702959501969709,1.0839993518892745,0.7297499623989583,0,1,1,0
ATVI,,1.0453362143280707,1.0306028966082816,1.0872444689764797,0,0,0,1
ADM,1.0233182319938756,1.0808996409781229,1.1703191412146456,0.7800549110971923,0,1,1,0
ADBE,1.206308043786438,1.2554305627455953,0.9099535458030491,0.7374404550965215,1,1,0,0
AAP,,1.063420180482401,1.1528299070665615,0.7704747477795608,0,0,1,0
AMD,1.2561495303627535,1.0824372066767942,0.804365738646268,0.9349249645208908,1,1,0,1
AES,,1.008116723836938,1.174691337843334,0.8893257096247834,0,0,1,1
AFL,1.0264651100269222,1.038719923020107,1.161949916247587,0.8157009514839624,0,0,1,0
A,,1.20029011443368,1.0460093101668522,0.6718761239693695,0,1,0,0
APD,,1.1176669922367581,1.0013198400029752,1.0153872333878615,0,1,0,1
AKAM,,1.1895691245539677,0.9451236697129645,0.9486711551115377,0,1,0,1
ALK,0.9102809868032422,0.8873778529440883,1.4025430909945862,0.8842235321524302,0,0,1,1
ALB,1.4135356635331453,1.0768248348929732,1.1085369700223442,0.6041446461864598,1,1,1,0
ARE,,1.0926692120778687,0.9645103681165897,0.8918276420286579,0,1,0,1
ALGN,1.1874357323696096,1.1924139407357586,0.9962424898561412,0.7177013321034331,1,1,0,0
ALLE,1.0366518381763983,1.1224492490418672,1.0953704328614973,0.80022559729054,0,1,1,0
LNT,1.0160157791344115,1.130680924097933,0.9967462861352675,0.8857061853371564,0,1,0,1
ALL,1.0451130710437022,1.097004692527515,1.1036344872318051,0.7930341991121185,0,1,1,0
GOOGL,1.1796111549841235,1.2045821872419993,1.1477843234038507,0.625383507121693,1,1,1,0
GOOG,1.142457549579263,1.241231280627436,1.1518579612765796,0.6248148841672355,1,1,1,0
MO,,0.9594704638513262,1.2234526675260144,0.8213921251339971,0,0,1,0
AMZN,0.9997134046374572,1.1523287730433673,0.9566745899441638,0.9141088280598558,0,1,0,1
AMCR,,1.0259846758312716,0.9946356897091368,0.9454516818709979,0,0,0,1
AEE,,1.082671105772868,1.0050373437960691,0.9229981440311075,0,1,0,1
AAL,0.8947368330736147,0.899999953667646,1.4520870329560909,0.8621389064134671,0,0,1,1
AEP,,1.0303229909492202,0.9889875385255478,0.976604157339709,0,0,0,1
AXP,,1.1405339459975574,1.2013430346224003,0.7199867425770952,0,1,1,0
AIG,,1.026178676550913,1.2490401070724995,0.7071155480350197,0,0,1,0
AMT,1.102519401438338,1.223335890692862,1.0299442115029338,0.728178087599734,1,1,0,0
AWK,1.1240415989817456,1.1715305635530922,0.9116129929158492,0.8501407564208145,1,1,0,1
AMP,1.112125851878628,1.0842425113132577,1.1951703322494267,0.698264975691228,1,1,1,0
ABC,,1.0252239262718978,1.1724804448053272,0.7928774810825373,0,0,1,0
AME,0.9895014703963546,1.102875270759485,1.0346373398862387,0.9009083282574273,0,1,0,1
AMGN,0.9097793082297289,0.991951764054241,1.0681359766431617,1.02784927171244,0,0,1,1
APH,,1.0414663119966072,0.988217342630199,0.8628513581974477,0,0,0,1
ADI,,1.1169141106376557,1.041859095295154,0.8327981221868499,0,1,0,1
ANSS,1.1126957003011952,1.0469066457678822,0.937206633176183,0.9407618522494944,1,0,0,1
ANTM,0.9954358832010005,1.072406119675827,1.1317910911276903,0.8176892277658184,0,1,1,0
AON,,1.0391794425866911,1.0817725878779465,0.7147385240964141,0,0,1,0
APA,,1.0998502007381692,1.2125596348961287,0.7855695434106501,0,1,1,0
AAPL,,1.0952779536067974,0.9439326932325087,0.8727417911140065,0,1,0,1
AMAT,,1.2037111803350324,1.2941888588419435,0.626053146317804,0,1,1,0
APTV,,1.016521200904665,1.214419648929626,0.8373284623583171,0,0,1,1
ANET,,1.3038760551845583,1.0150577327880868,0.7785202921964804,0,1,0,0
AJG,1.078188578636886,1.1048961477893693,1.0279057822181246,0.8243994506054415,1,1,0,0
AIZ,,1.0885295288266454,1.0830183085279408,0.8091049336624534,0,1,1,0
T,0.9779114262037989,0.9740568110358363,0.9987236635628695,1.0538376677997365,0,0,0,1
ATO,0.9006216995130758,1.0792437871843423,0.9260239830286804,1.119359822779494,0,1,0,1
ADSK,1.0518925835127992,1.048967483210351,0.9162174505611093,0.9978483597767827,0,0,0,1
ADP,1.0091320086437543,1.0664901361482864,1.064098127481418,0.872012806108001,0,0,1,1
AZO,1.155669002610351,1.0669848197295477,1.105318908783293,0.7404010292689645,1,0,1,0
AVB,,1.1225101258088404,1.176933902341278,0.7175451648430116,0,1,1,0
AVY,1.0648531031611859,1.1522558472983118,1.2068022869793134,0.696578599540502,0,1,1,0
BKR,1.025811373016155,1.0509227968597499,1.0526522097118094,0.8977685853950796,0,0,0,1
BLL,1.1626752726378242,0.9692043002061413,0.8993256616610983,0.9909214666346159,1,0,0,1
BAC,1.021539887041964,1.0263877012306206,1.366390085838551,0.6971432721173322,0,0,1,0
BBWI,1.313601136156018,1.046018402537903,1.530010238933159,0.4768857451529076,1,0,1,0
BAX,,1.019652096291914,1.006154044227262,0.9426358230228681,0,0,0,1
BDX,1.0968504692584038,1.0078817170250958,0.9831214147709071,0.9226307490885503,1,0,0,1
BBY,1.0068776408170488,0.9717848905544673,1.1077184227131243,0.9221169126384237,0,0,1,1
BIO,,1.0834137160094774,0.969621224052323,0.7457474362291568,0,1,0,0
TECH,1.190111046005048,1.1913405472285126,1.214579114242242,0.5753845037973498,1,1,1,0
BIIB,,1.4623098527436906,1.0544365115535346,0.8285752147128497,0,1,0,1
BLK,,1.2060884506976093,1.0427341311180403,0.7846390506078729,0,1,0,0
BK,1.0453096145740428,1.066400330715281,1.1709013545276115,0.769446416220674,0,0,1,0
BA,0.89189866867991,0.9342341775425614,1.1157298368566178,1.0756467910736656,0,0,1,1
BKNG,,0.9774388238890923,1.1186339203312972,0.9022434894646727,0,0,1,1
BWA,0.8776895323970679,1.0301915940409418,1.2822859316508979,0.8687238361706553,0,0,1,1
BXP,,1.139225190229001,1.0575450726079438,0.8924249107401054,0,1,0,1
BSX,,1.1351139050265207,1.1015287177291118,0.7813837954373056,0,1,1,0
BMY,,1.0795894465797706,1.0041102554179349,0.997271785321212,0,1,0,1
AVGO,1.0852163562984227,1.023059501186316,1.1197074151578361,0.806557576175735,1,0,1,0
BR,,1.101926701321555,0.9907142334924834,0.8783902160525835,0,1,0,1
CHRW,,0.9991610053783743,1.0652341133165213,1.0209966271515696,0,0,1,1
COG,1.2257045974216108,0.8949783206555436,1.0384902771731161,0.875998459184606,1,0,0,1
CDNS,1.2803452442257066,1.0554704906113481,1.00985180823546,0.7505958322422875,1,0,0,0
CZR,1.0456515244166338,1.146026529577841,1.204146744370761,0.7093428686739304,0,1,1,0
CPB,,0.9295235812053911,1.065899412525005,1.0590566206550627,0,0,1,1
COF,,1.199781800284076,1.389160162621831,0.5752336104528963,0,1,1,0
CAH,,0.9924720587469126,1.0709099869272811,1.0183511829044671,0,0,1,1
KMX,1.205055250585993,0.8614744372187455,1.399771157840217,0.6852234788931314,1,0,1,0
CCL,0.8124560200774953,1.0053059644889069,1.3130515353535872,0.9142251118532447,0,0,1,1
CARR,1.1969150415148304,1.1281883968228372,1.0918004031088566,0.6791476162997159,1,1,1,0
CTLT,,1.063076899601863,1.0398959881866063,0.7345575219949598,0,0,0,0
CAT,0.9772863520723462,0.9120720960247116,1.276038874080338,0.8961404697766739,0,0,1,1
CBOE,1.0539274320938048,1.1462890185968724,1.128001794479337,0.7344065879059192,0,1,1,0
CBRE,,1.1146139570111118,1.1847875658284792,0.6904363969120467,0,1,1,0
CDW,1.150647573567496,1.0798455699554073,1.1857323264309787,0.6901126255742702,1,1,1,0
CE,,0.9988255920274476,1.1408922490476445,0.867252637215869,0,0,1,1
CNC,0.8288252210481357,1.1689475840070511,1.0528320399184876,0.9340965599975639,0,1,0,1
CNP,0.9778077719026312,1.1624984100282871,0.9938934719782384,0.8923911078049361,0,1,0,1
CERN,0.9404359334103496,1.1035526124931914,0.9546672385445707,0.9955932723463021,0,1,0,1
CF,0.9864357114887763,1.0399500613256756,1.2695809294543703,0.7665670908931287,0,0,1,0
CRL,,1.2410850572162249,1.1859469993737168,0.5518901012467136,0,1,1,0
SCHW,,1.0947231805799786,1.298417210681822,0.7188754447997655,0,1,1,0
CHTR,1.1073583731306464,1.097967828706296,0.9738657951928159,0.8464924370382072,1,1,0,1
CVX,0.9211925915933257,1.0409203092995536,1.1815124669657715,0.8877690542271268,0,0,1,1
CMG,,0.975422563075199,1.0615688745444325,0.7053147411561018,0,0,1,0
