ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
D,64%,"3,313 (3.82%)","9,083 (10.47%)","19,039 (21.94%)","21,218 (24.45%)","34,134 (39.33%)","11,790 (22.4%)","5,705 (10.84%)","12,730 (24.18%)","8,388 (15.94%)","14,025 (26.64%)",65.8,66.0,69.4,67.0,67.0,87.1,81.2,80.5,70.6,79.4,87.7
DPZ,41%,103 (.59%),322 (1.86%),934 (5.38%),"1,917 (11.05%)","14,084 (81.15%)","1,691 (14.48%)",831 (7.11%),"2,030 (17.38%)","1,491 (12.77%)","5,637 (48.26%)",44.4,44.4,35.9,46.5,46.5,6.9,45.5,48.2,40.1,26.2,13.0
DUK,55%,"2,041 (2.94%)","5,256 (7.58%)","10,152 (14.63%)","15,609 (22.5%)","36,315 (52.35%)","6,285 (14.18%)","3,901 (8.8%)","8,423 (19%)","6,749 (15.22%)","18,978 (42.8%)",21.9,23.0,4.3,12.8,11.4,1.5,40.6,19.5,26.6,1.3,12.7
DRE,20%,427 (1%),"1,160 (3%)","5,848 (16%)","8,882 (24%)","20,943 (56%)","1,831 (8%)","2,042 (8%)","6,231 (26%)","4,716 (19%)","9,551 (39%)",19.0,21.0,5.8,21.4,19.7,2.1,17.6,16.8,14.0,9.6,5.6
DD,62%,"3,754 (4.92%)","7,103 (9.3%)","28,666 (37.54%)","17,107 (22.41%)","19,724 (25.83%)","7,558 (17.32%)","4,933 (11.3%)","10,601 (24.29%)","7,224 (16.55%)","13,325 (30.53%)",72.8,73.1,75.9,76.2,71.6,93.9,83.5,77.8,93.0,87.7,82.4
EBAY,51%,"10,893 (7%)","10,080 (7%)","27,783 (18%)","43,950 (28%)","61,574 (40%)","7,333 (8%)","6,738 (8%)","15,781 (18%)","13,486 (16%)","43,354 (50%)",43.5,45.7,39.1,40.7,36.2,3.3,14.1,43.6,21.0,7.5,73.4
ECL,53%,"10,245 (9.82%)","7,011 (6.72%)","24,270 (23.27%)","28,683 (27.5%)","34,085 (32.68%)","9,359 (15.21%)","6,658 (10.82%)","14,725 (23.93%)","11,045 (17.95%)","19,756 (32.1%)",53.2,53.4,39.5,51.3,50.7,7.2,27.3,18.7,33.3,22.4,6.4
EW,77%,"19,639 (14.62%)","11,837 (8.81%)","23,697 (17.64%)","30,966 (23.05%)","48,231 (35.9%)","5,416 (8.64%)","3,606 (5.75%)","10,460 (16.69%)","10,683 (17.04%)","32,511 (51.87%)",91.9,90.3,87.1,90.1,90.2,94.0,62.8,92.4,86.9,98.2,96.6
EA,45%,"1,995 (2%)","2,505 (3%)","11,198 (13%)","23,570 (27%)","47,910 (55%)","2,449 (5%)","2,112 (4%)","6,338 (13%)","6,937 (14%)","30,921 (63%)",74.1,69.4,69.4,70.1,70.8,72.5,70.1,74.1,75.2,87.2,99.8
LLY,35%,"3,884 (7.1%)","8,933 (16.32%)","15,324 (28%)","10,893 (19.91%)","15,689 (28.67%)","7,606 (23.38%)","4,422 (13.59%)","8,691 (26.72%)","5,188 (15.95%)","6,624 (20.36%)",58.7,58.7,59.4,58.5,58.6,67.3,65.2,68.6,61.5,64.0,87.4
ETR,61%,"6,031 (4.41%)","14,409 (10.54%)","28,558 (20.9%)","31,430 (23%)","56,225 (41.14%)","17,717 (22.74%)","9,410 (12.08%)","17,708 (22.73%)","10,982 (14.1%)","22,086 (28.35%)",69.0,67.7,85.1,71.7,72.4,94.2,84.1,87.5,80.3,86.8,89.2
EOG,60%,"8,720 (6.67%)","7,962 (6.09%)","17,679 (13.52%)","24,650 (18.85%)","71,739 (54.87%)","9,981 (12.39%)","6,204 (7.7%)","12,649 (15.71%)","11,433 (14.2%)","40,258 (49.99%)",29.0,37.5,6.3,24.0,22.4,4.7,4.9,3.1,3.1,3.3,2.4
EQR,45%,,,,,,,,,,,29.5,30.8,0.6,18.2,10.7,0.0,18.5,2.2,34.9,0.5,0.3
ETSY,51%,"51,441 (6.52%)","49,251 (6.24%)","110,102 (13.95%)","104,011 (13.18%)","474,493 (60.12%)","65,059 (13.79%)","35,082 (7.44%)","63,438 (13.45%)","51,806 (10.98%)","256,319 (54.34%)",41.3,43.8,3.7,31.9,24.2,0.1,9.9,16.8,5.4,0.2,1.1
ES,,"5,719 (7.95%)","8,560 (11.9%)","23,970 (33.34%)","20,756 (28.87%)","12,900 (17.94%)","8,483 (19.99%)","6,190 (14.59%)","10,819 (25.49%)","6,368 (15.01%)","10,578 (24.93%)",89.8,94.2,90.6,92.4,90.9,87.6,97.0,98.1,85.8,94.3,73.4
FAST,8%,341 (2.52%),663 (4.89%),"3,687 (27.2%)","4,749 (35.04%)","4,115 (30.36%)","1,402 (14.64%)","1,154 (12.05%)","2,830 (29.55%)","1,891 (19.74%)","2,301 (24.02%)",41.9,41.5,39.1,45.2,46.2,31.4,7.7,16.4,41.3,24.1,11.5
FMC,62%,"15,586 (4.62%)","30,558 (9.06%)","89,985 (26.69%)","61,550 (18.26%)","139,483 (41.37%)","41,429 (20.64%)","22,270 (11.09%)","39,742 (19.8%)","30,598 (15.24%)","66,695 (33.23%)",56.0,56.3,50.2,55.5,55.6,19.9,62.8,48.7,48.0,16.3,0.4
F,40%,"8,257 (11.52%)","7,783 (10.86%)","20,051 (27.99%)","21,147 (29.52%)","14,414 (20.12%)","8,835 (22.16%)","6,111 (15.33%)","10,268 (25.75%)","5,783 (14.5%)","8,879 (22.27%)",58.9,58.8,59.4,58.6,58.6,66.6,62.8,59.7,59.0,63.0,80.2
FOXA,40%,"43,948 (4.54%)","36,130 (3.73%)","106,466 (11%)","116,144 (12%)","665,522 (68.74%)","65,405 (10.66%)","40,047 (6.53%)","75,151 (12.25%)","69,587 (11.34%)","363,390 (59.22%)",55.8,56.0,31.9,54.3,52.6,24.4,42.7,53.3,42.4,0.4,2.4
FOX,40%,"43,948 (4.54%)","36,130 (3.73%)","106,466 (11%)","116,144 (12%)","665,522 (68.74%)","65,405 (10.66%)","40,047 (6.53%)","75,151 (12.25%)","69,587 (11.34%)","363,390 (59.22%)",55.8,56.0,31.9,54.3,52.6,24.4,42.7,53.3,42.4,0.4,2.4
FCX,70%,"9,826 (15.07%)","7,810 (11.98%)","13,666 (20.97%)","16,643 (25.53%)","17,237 (26.44%)","8,166 (22.03%)","4,685 (12.64%)","9,808 (26.45%)","5,759 (15.53%)","8,657 (23.35%)",85.1,90.0,94.8,90.4,91.8,89.4,89.8,95.0,86.8,93.7,73.4
GPS,51%,"18,197 (6.79%)","11,422 (4.26%)","29,201 (10.9%)","43,484 (16.23%)","165,540 (61.8%)","22,983 (14.19%)","12,425 (7.67%)","19,264 (11.9%)","14,253 (8.8%)","93,004 (57.44%)",67.4,63.3,83.7,67.5,69.8,94.4,63.7,66.0,77.2,89.6,73.4
GE,47%,"17,681 (8.4%)","11,998 (5.7%)","34,686 (16.48%)","28,657 (13.62%)","117,392 (55.79%)","22,393 (17.46%)","9,886 (7.71%)","17,812 (13.89%)","15,182 (11.84%)","62,978 (49.11%)",5.9,4.6,0.1,2.7,2.0,0.1,2.0,1.1,11.4,0.2,17.1
GIS,20%,669 (1.09%),"1,457 (2.36%)","9,490 (15.39%)","16,064 (26.06%)","33,959 (55.09%)","2,555 (6.88%)","2,742 (7.38%)","7,430 (20%)","5,932 (15.97%)","18,491 (49.77%)",15.1,16.6,6.2,13.8,13.5,2.0,4.2,5.8,1.8,8.7,19.4
GM,85%,"2,282 (4.59%)","5,919 (11.9%)","11,730 (23.59%)","13,924 (28%)","15,871 (31.92%)","12,404 (34.63%)","4,828 (13.48%)","7,932 (22.14%)","4,243 (11.84%)","6,416 (17.91%)",64.4,64.0,70.1,64.2,63.5,90.2,78.1,67.8,64.9,71.2,79.8
GILD,56%,"4,577 (5%)","3,991 (5%)","13,596 (15%)","23,372 (27%)","42,383 (48%)","2,782 (6%)","2,569 (5%)","6,907 (14%)","7,684 (16%)","28,889 (59%)",66.8,63.9,67.7,65.0,65.5,84.4,63.8,67.7,67.6,85.4,98.1
HAL,89%,"8,223 (24.63%)","6,276 (18.8%)","9,470 (28.36%)","6,848 (20.51%)","2,573 (7.71%)","3,142 (18.62%)","2,372 (14.06%)","4,931 (29.22%)","2,999 (17.77%)","3,432 (20.34%)",91.5,89.0,90.5,92.5,89.9,94.6,75.7,74.7,85.8,80.5,93.6
HBI,61%,"1,730 (7.31%)","1,973 (8.33%)","7,217 (30.49%)","6,699 (28.3%)","6,055 (25.58%)","2,563 (17.19%)","2,165 (14.52%)","4,847 (32.5%)","2,503 (16.78%)","2,836 (19.02%)",73.1,74.7,70.9,74.3,73.3,76.4,75.4,70.1,69.0,83.9,73.4
